,Player,From / To,Date,Price
337,"Alexis Mac Allister
M, AM (C)","Brighton
Liverpool",01-07-2023,€42M
338,"Haydon Roberts
D (L)","Brighton
Bristol City",01-07-2023,Free
339,"Jack Spong
DM (CRL)","Brighton
Queen's",01-07-2023,Free
340,"Teddy Jenks
M (C)","Brighton
Forest",01-07-2023,Free
341,"Antef Tsoungui
D (C)","Brighton
Feyenoord",01-07-2023,Free
342,"Josh Lane
GK","Aston Villa
Robert Morris Colonials (Robert Morris University)",01-07-2023,Free
343,"Matheus Cunha
F (C)","Atlético
Wolverhampton",01-07-2023,€50M
344,"Nahuel Bustos
F, M (C)","Man City
Talleres",01-07-2023,Free
345,"Harry Wright
D, M (C)","Everton
Fleetwood",01-07-2023,Free
346,"Rekeem Harper
M, DM (C)","Ipswich Town
Burton Albion",01-07-2023,Free
347,"Finlay Armstrong
D (L)","Burnley
Fleetwood",01-07-2023,Free
348,"Harry Winks
DM, M (C)","Tottenham
Leicester",01-07-2023,€11.6M
349,"Conor Coady
D (C)","Wolverhampton
Leicester",01-07-2023,€8.7M
350,"Diego Manuel Jadon da Silva Moreira
AM (RL), D (L)","Benfica
Chelsea",01-07-2023,Free
351,"Joe Bryan
D, M (L)","Fulham
Millwall",01-07-2023,Free
352,"Ethan Laird
D (R)","Man Utd
Birmingham City",01-07-2023,€0.9M
353,"Nicolas Jackson
F (C)","Villarreal
Chelsea",01-07-2023,€37M
354,"Ruben Loftus-Cheek
M, DM, AM (C)","Chelsea
Milan",01-07-2023,€18.5M
355,"Ethan Galbraith
M, AM (C), D (R)","Man Utd
Leyton Orient",01-07-2023,Free
356,Karl Daley,"Leicester
Leighton Town",01-07-2023,Free
357,"Romaine Mundle
F (L)","Tottenham
Standard",01-07-2023,Free
358,"Kai Havertz 
F, M (C)","Chelsea
Arsenal",01-07-2023,€75M
359,"James Maddison
AM, M (C)","Leicester
Tottenham",01-07-2023,€46.3M
360,"Edouard Mendy
GK","Chelsea
Al Ahli",01-07-2023,€18.5M
361,"Mislav Orsic
F, M (L)","Southampton
Trabzonspor",01-07-2023,€2.4M
362,"Jack Turner
M (C)","Southampton
Queen's",01-07-2023,Free
363,"Chiedozie Ogbene
F, M (R), AM (C)","Rotherham
Luton",01-07-2023,Free
364,"Guglielmo Vicario
GK","Empoli
Tottenham",01-07-2023,€18.5M
365,"Mateo Kovacic
M, DM (C)","Chelsea
Man City",01-07-2023,€29.1M
366,Harry Isted,"Luton
Charlton Athletic",01-07-2023,Free
367,"Zidane Iqbal
M, DM (C)","Man Utd
Utrecht",01-07-2023,€1M
368,"Ethan Wady
GK","Chelsea
Millwall",01-07-2023,Free
369,"Dan Nlundulu
F (C)","Southampton
Bolton Wanderers",01-07-2023,Free
370,"İlkay Gündoğan
M (C)","Man City
Barcelona",01-07-2023,Free
371,"Kalidou Koulibaly
D (C)","Chelsea
Al-Hilal",01-07-2023,€23M
372,"Lewis Thomas
GK","Burnley
Harrogate",01-07-2023,Free
373,"Dara O'Shea
D (C)","West Bromwich
Burnley",01-07-2023,€7.8M
374,"Justin Kluivert
M (CL)","Roma
B'mouth",01-07-2023,€10.8M
375,"Rúben Neves
DM, M (C)","Wolverhampton
Al-Hilal",01-07-2023,€55M
376,"Nathan Baxter
GK","Chelsea
Bolton Wanderers",01-07-2023,Free
377,"Lukas Jensen
GK","Burnley
Lincoln",01-07-2023,Free
378,"N'Golo Kanté
DM, M (C)","Chelsea
Al-Ittihad",01-07-2023,Free
379,"Christopher Nkunku
F (C), M (CL)","RB Leipzig
Chelsea",01-07-2023,€60M
380,"Will Tizzard
D (C)","Southampton
Queen's",01-07-2023,Free
381,"Matt Smith
M, DM (C)","Arsenal
Wigan",01-07-2023,Free
382,"Tom Bloxham
F (L)","Tottenham
Blackburn",01-07-2023,Free
383,"Will Norris
GK","Burnley
Portsmouth",01-07-2023,Free
384,"Charlie Hayes-Green
M, D (C)","Liverpool
Bolton Wanderers",01-07-2023,Free
385,"Daniel Quick
D (CR)","C. Palace
Eastbourne Borough",01-07-2023,Free
386,"Harry Barclay
D (CR)","Newcastle Utd.
AFC Blyth",01-07-2023,Free
387,"Dejan Kulusevski
AM (C), M (CR)","Juventus
Tottenham",01-07-2023,€30M
388,"Ziyad Larkeche
D, M (L)","Fulham
QPR",01-07-2023,Free
389,"Will Brook
GK","Leeds United
Nottingham",01-07-2023,Free
390,"Yankuba Minteh
F, M (R)","Odense
Newcastle Utd.",01-07-2023,€8M
391,"Kevin Schade
AM, F (L)","SC Freiburg
Brentford",01-07-2023,€25M
392,"Youri Tielemans
M, DM (C)","Leicester
Aston Villa",01-07-2023,Free
393,"Isaac Price
M (CR)","Everton
Standard",01-07-2023,Free
394,"Naby Keïta
M (C)","Liverpool
Werder",01-07-2023,Free
395,"Shane Duffy
D (C)","Fulham
Norwich",01-07-2023,Free
396,"Terrell Agyemang
M (CL)","Man City
Middlesbrough",01-07-2023,Free
397,"Michael Agboola
D (R)","Wolverhampton
Hullbridge Sports FC",01-07-2023,Free
398,"Jack Scott
M (C), DM (R)","Wolverhampton
Linfield",01-07-2023,Free
399,"Paulo Gazzaniga
GK","Fulham
Girona",01-07-2023,Free
400,"Jack Butland
GK","C. Palace
Rangers",01-07-2023,Free
401,"Jefferson Lerma
DM, M (C)","B'mouth
C. Palace",01-07-2023,Free
402,"Nicky Hogarth
GK","Nottingham
Falkirk",01-07-2023,Free
403,"Roco Rees
GK","Brentford
Worthing FC",01-07-2023,Free
404,"Dujon Sterling
D (RL)","Chelsea
Rangers",01-07-2023,Free
405,"Josh Neufville
GK","Luton
Wimbledon",01-07-2023,Free
406,"Josh Williams
M (L), D (CL)","Luton
Hemel Hempstead Town",01-07-2023,Free
407,Lachlan Brook,"Brentford
West Sydney",01-07-2023,Free
408,"Lewis Salmon
F (RL), AM (L)","Nottingham
Alfreton Town",01-07-2023,Free
409,"Joseph Peter McFlynn
F (RL)","Burnley
Hamilton",01-07-2023,Free
410,"Joel Coleman
GK","Ipswich Town
Bolton Wanderers",01-07-2023,Free
411,"Niels Nkounkou
D, M (L)","Everton
Saint-Etienne",01-07-2023,€2M
412,"Jack Stacey
D (R)","B'mouth
Norwich",01-07-2023,Free
413,"Mark Flekken
GK","SC Freiburg
Brentford",01-07-2023,€13M
414,"Michael Obafemi
F (C)","Swansea
Burnley",01-07-2023,€4M
415,"Ashley Barnes
F, M (C)","Burnley
Norwich",01-07-2023,Free
416,"Chris Wood
F (CRL)","Newcastle Utd.
Nottingham",01-07-2023,€17M
417,"Jordan Beyer
D (C)","Gladbach
Burnley",01-07-2023,€15M
418,"Alex Matos
M (C)","Norwich
Chelsea",01-07-2023,Free
419,"Hamed Junior Traoré
AM (C), M (CL)","Sassuolo
B'mouth",01-07-2023,€25.6M
420,"Pablo Marí
D (C)","Arsenal
Monza",01-07-2023,€6.2M
421,"Arthur Masuaku
D (L)","West Ham United
Besiktas",01-07-2023,€2M
422,"Jordan Zemura
D, M (L)","B'mouth
Udinese",01-07-2023,Free
423,"Sylvester Jasper
F (L), M (R)","Fulham
Portimonense",01-07-2023,Free
424,"Pedro Porro
D (R)","Sporting CP
Tottenham",01-07-2023,€40M
425,"Boubacar Traoré
DM, F (C)","Metz
Wolverhampton",01-07-2023,€11M
426,"Moise Kean
F (C)","Everton
Juventus",01-07-2023,€30M
