,Player,From / To,Date,Price
75,"Ryan Gravenberch
M, DM (C)","Bayern
Liverpool",01-09-2023,€40M
76,"Cole Palmer
M (CR)","Man City
Chelsea",01-09-2023,€47M
77,"Callum Hudson-Odoi
F, M (L)","Chelsea
Nottingham",01-09-2023,€3.5M
78,"Altay Bayindir
GK","Fenerbahce
Man Utd",01-09-2023,€5M
79,"Keinan Davis
F (C)","Aston Villa
Udinese",01-09-2023,€2.3M
80,"Matheus Nunes
M (CL), DM (C)","Wolverhampton
Man City",01-09-2023,€62M
81,"Mikki van Sas
GK","Man City
Feyenoord",01-07-2023,Free
82,"Brad Young
F (CRL)","Aston Villa
The New Saints",01-07-2023,Free
83,"Silko Thomas
M (L)","Chelsea
Leicester",01-07-2023,Free
84,"Jamal Baptiste
D (C)","West Ham United
Man City",01-07-2023,Free
85,"Jayden Wareham
F (C)","Chelsea
Reading",01-07-2023,Free
86,"Charlie Wellens
D (R)","Man Utd
Reading",01-07-2023,Free
87,"Murillo
D (C)","Corinthians
Nottingham",31-08-2023,€12M
88,"Han-Noah Massengo
DM, M (C)","Bristol City
Burnley",31-08-2023,Free
89,"Santiago Bueno
D (C)","Girona
Wolverhampton",31-08-2023,€12M
90,"Tiemoué Bakayoko
DM, M (C)","Chelsea
Lorient",31-08-2023,Free
91,"Andy Irving
M (C)","Austria
West Ham United",31-08-2023,€1.8M
92,"Dean Henderson
GK","Man Utd
C. Palace",31-08-2023,€17.5M
93,"Toby Bull
M (C), GK","Brighton
Eastbourne Town",30-08-2023,Free
94,"Steven Benda
GK","Swansea
Fulham",30-08-2023,€0.9M
95,"Folarin Balogun
F (C)","Arsenal
Monaco",30-08-2023,€30M
96,"Beto
F (C)","Udinese
Everton",29-08-2023,€25M
97,"Carlos Baleba
DM (RL), AM (C)","Lille
Brighton",29-08-2023,€27M
98,"Timothy Castagne
D (R)","Leicester
Fulham",29-08-2023,€13M
99,"Roy Syla
M (C)","Brentford
Ayr United",01-07-2023,Free
100,"Dan Langley
GK","Newcastle Utd.
Blyth Spartans AFC",28-08-2023,Free
101,"Cameron Archer
F (C)","Aston Villa
Sheff Utd",27-08-2023,€21.6M
102,"Nathan Tella
M (R), AM (L)","Southampton
Bayer 04",27-08-2023,€23.3M
103,"Mohammed Kudus
AM (C), M (RL)","Ajax
West Ham United",27-08-2023,€43M
104,"Steven Sessegnon
D (RL)","Fulham
Wigan",26-08-2023,Free
105,"Djordje Petrovic
GK","New England Rev.
Chelsea",26-08-2023,€16M
106,"Avan Jones
D, M (R)","Luton
Chesham United",01-07-2023,Free
107,Kane Draper,"Nottingham
Pontypridd United",25-08-2023,Free
108,"Terell Pennant
AM (C), M (L), F (R)","Leicester
Coalville Town",25-08-2023,Free
109,"Mohamed Dräger
D, M (R)","Nottingham
Basel",25-08-2023,€0.4M
110,"João Moutinho
M, DM (C)","Wolverhampton
Sporting Braga",01-07-2023,Free
111,"Ruben Shakpoke
F (C)","Aston Villa
West Bromwich",24-08-2023,Free
112,"Noam Emeran
F (L)","Man Utd
Groningen",24-08-2023,Free
113,"Roshaun Mathurin
F (CR)","Tottenham
C. Palace",24-08-2023,Free
114,"David Omilabu
F (R)","C. Palace
Maidenhead United",24-08-2023,Free
115,"Jérémy Doku
F, M (L)","Stade Rennais
Man City",24-08-2023,€60M
116,"Aymeric Laporte
D (C)","Man City
Al-Nassr",24-08-2023,€27.5M
117,"Matt Everitt
M (RL), AM (L)","Brighton
Dorking Wanderers",01-07-2023,Free
118,"Sam Bellis
M (C)","Southampton
Barrow",23-08-2023,Free
119,"Rowan McDonald
M (C)","Man City
Waterford",01-07-2023,Free
120,"Aaron Ramsey
AM, M (C)","Aston Villa
Burnley",22-08-2023,€16.5M
121,"Hannes Delcroix
D (CL)","Anderlecht
Burnley",22-08-2023,€3M
122,"Konstantinos Mavropanos
D (C)","VfB Stuttgart
West Ham United",22-08-2023,€20M
123,"Prince Adegoke
GK","Chelsea
Charlton Athletic",01-07-2023,Free
124,"Tyler Adams
DM, M (C)","Leeds United
B'mouth",20-08-2023,€26.9M
125,"Sergi Canós
M (RL)","Brentford
Valencia",20-08-2023,€0.3M
126,"Aleksandar Mitrović
F (C)","Fulham
Al-Hilal",19-08-2023,€52.6M
127,"David Boateng
D (R)","C. Palace
AFC Croydon Athletic",01-07-2023,Free
128,"Joe Oliver
D, M (R)","Newcastle Utd.
Blyth Spartans AFC",18-08-2023,Free
129,"Lewis Richards
D (CL), M (L)","Wolverhampton
Bradford City",18-08-2023,€35K
130,"Roméo Lavia
DM, M (C)","Southampton
Chelsea",18-08-2023,€62.1M
131,"Wataru Endo
DM, M (C)","VfB Stuttgart
Liverpool",18-08-2023,€20M
132,"Arjan Raikhy
DM (RL), M (L)","Aston Villa
Leicester",01-07-2023,Free
133,"Tom Davies
M (C)","Everton
Sheff Utd",16-08-2023,Free
134,Jake O'Brien,"C. Palace
Lyon",15-08-2023,€1M
135,"Matej Kovar
GK","Man Utd
Bayer 04",15-08-2023,€5M
136,"Billy Sharp
F (C)","Sheff Utd
LA Galaxy",01-07-2023,Free
137,"Reece Hannam
D (L)","C. Palace
Stevenage",14-08-2023,Free
138,"James Ward-Prowse
M, DM (C)","Southampton
West Ham United",14-08-2023,€34.8M
139,"Moisés Caicedo
DM, M (C)","Brighton
Chelsea",14-08-2023,€116M
140,"Armstrong Oko-Flex
F (L)","West Ham United
Zurich",01-07-2023,Free
141,"Alex Oxlade-Chamberlain
M (C)","Liverpool
Besiktas",01-07-2023,Free
142,"Fred
M, DM (C)","Man Utd
Fenerbahce",11-08-2023,€9.7M
143,"Diego Costa
F (C)","Wolverhampton
Botafogo",12-08-2023,Free
144,"Adama Traoré
F, M (R)","Wolverhampton
Fulham",12-08-2023,Free
145,"Wilson Odobert
F (R), M (L)","Troyes
Burnley",12-08-2023,€12M
146,"Harry Kane
F (C)","Tottenham
Bayern",12-08-2023,€95M
147,"Gustavo Hamer
M (CL)","Coventry
Sheff Utd",12-08-2023,€17.3M
148,Matt Burgess,"B'mouth
Bognor Regis Town FC",11-08-2023,Free
149,"Noel Atom
D (CL), M (C)","RB Leipzig
Brighton",11-08-2023,Free
150,"Chermiti
F (C)","Sporting CP
Everton",11-08-2023,€12.5M
151,"Bryan Fiabema
F (C)","Chelsea
Real Sociedad",01-07-2023,Free
152,"Todd Miller
AM (CL), F (C)","Brighton
Bromley",10-08-2023,Free
153,"Max Aarons
D (R)","Norwich
B'mouth",10-08-2023,€8.1M
154,"Jacob Brown
F, AM (C), M (R)","Stoke City
Luton",10-08-2023,€2.9M
