Player,From / To,Date,Price
Folarin Balogun,Arsenal / Monaco,30-08-2023,30000000.0
Beto,Udinese / Everton,29-08-2023,25000000.0
Carlos Baleba,Lille / Brighton,29-08-2023,27000000.0
Timothy Castagne,Leicester / Fulham,29-08-2023,13000000.0
Roy Syla,Brentford / Ayr United,01-07-2023,0.0
Dan Langley,Newcastle Utd. / Blyth Spartans AFC,28-08-2023,0.0
Cameron Archer,Aston Villa / Sheff Utd,27-08-2023,21600000.0
Nathan Tella,Southampton / Bayer 04,27-08-2023,23300000.0
Mohammed Kudus,Ajax / West Ham United,27-08-2023,43000000.0
Steven Sessegnon,Fulham / Wigan,26-08-2023,0.0
Djordje Petrovic,New England Rev. / Chelsea,26-08-2023,16000000.0
Avan Jones,Luton / Chesham United,01-07-2023,0.0
Kane Draper,Nottingham / Pontypridd United,25-08-2023,0.0
Terell Pennant,Leicester / Coalville Town,25-08-2023,0.0
Mohamed Dräger,Nottingham / Basel,25-08-2023,400000.0
João Moutinho,Wolverhampton / Sporting Braga,01-07-2023,0.0
Ruben Shakpoke,Aston Villa / West Bromwich,24-08-2023,0.0
Noam Emeran,Man Utd / Groningen,24-08-2023,0.0
Roshaun Mathurin,Tottenham / C. Palace,24-08-2023,0.0
David Omilabu,C. Palace / Maidenhead United,24-08-2023,0.0
Jérémy Doku,Stade Rennais / Man City,24-08-2023,60000000.0
Aymeric Laporte,Man City / Al-Nassr,24-08-2023,27500000.0
Matt Everitt,Brighton / Dorking Wanderers,01-07-2023,0.0
Sam Bellis,Southampton / Barrow,23-08-2023,0.0
Rowan McDonald,Man City / Waterford,01-07-2023,0.0
Aaron Ramsey,Aston Villa / Burnley,22-08-2023,16500000.0
Hannes Delcroix,Anderlecht / Burnley,22-08-2023,3000000.0
Konstantinos Mavropanos,VfB Stuttgart / West Ham United,22-08-2023,20000000.0
Prince Adegoke,Chelsea / Charlton Athletic,01-07-2023,0.0
Tyler Adams,Leeds United / B'mouth,20-08-2023,26900000.0
Sergi Canós,Brentford / Valencia,20-08-2023,300000.0
Aleksandar Mitrović,Fulham / Al-Hilal,19-08-2023,52600000.0
David Boateng,C. Palace / AFC Croydon Athletic,01-07-2023,0.0
Joe Oliver,Newcastle Utd. / Blyth Spartans AFC,18-08-2023,0.0
Lewis Richards,Wolverhampton / Bradford City,18-08-2023,35000.0
Roméo Lavia,Southampton / Chelsea,18-08-2023,62100000.0
Wataru Endo,VfB Stuttgart / Liverpool,18-08-2023,20000000.0
Arjan Raikhy,Aston Villa / Leicester,01-07-2023,0.0
Tom Davies,Everton / Sheff Utd,16-08-2023,0.0
Jake O'Brien,C. Palace / Lyon,15-08-2023,1000000.0
Matej Kovar,Man Utd / Bayer 04,15-08-2023,5000000.0
Billy Sharp,Sheff Utd / LA Galaxy,01-07-2023,0.0
Reece Hannam,C. Palace / Stevenage,14-08-2023,0.0
James Ward-Prowse,Southampton / West Ham United,14-08-2023,34800000.0
Moisés Caicedo,Brighton / Chelsea,14-08-2023,116000000.0
Armstrong Oko-Flex,West Ham United / Zurich,01-07-2023,0.0
Alex Oxlade-Chamberlain,Liverpool / Besiktas,01-07-2023,0.0
Fred,Man Utd / Fenerbahce,11-08-2023,9700000.0
Diego Costa,Wolverhampton / Botafogo,12-08-2023,0.0
Adama Traoré,Wolverhampton / Fulham,12-08-2023,0.0
Wilson Odobert,Troyes / Burnley,12-08-2023,12000000.0
Harry Kane,Tottenham / Bayern,12-08-2023,95000000.0
Gustavo Hamer,Coventry / Sheff Utd,12-08-2023,17300000.0
Matt Burgess,B'mouth / Bognor Regis Town FC,11-08-2023,0.0
Noel Atom,RB Leipzig / Brighton,11-08-2023,0.0
Chermiti,Sporting CP / Everton,11-08-2023,12500000.0
Bryan Fiabema,Chelsea / Real Sociedad,01-07-2023,0.0
Todd Miller,Brighton / Bromley,10-08-2023,0.0
Max Aarons,Norwich / B'mouth,10-08-2023,8100000.0
Jacob Brown,Stoke City / Luton,10-08-2023,2900000.0
Ivan Cavaleiro,Fulham / Lille,10-08-2023,0.0
Edson Álvarez,Ajax / West Ham United,10-08-2023,38000000.0
Alex Scott,Bristol City / B'mouth,10-08-2023,23000000.0
Fraser Alexander,Ipswich Town / Bishop's Stortford FC,01-07-2023,0.0
Ross Barkley,Nice / Luton,09-08-2023,0.0
Vini Souza,Lommel United / Sheff Utd,09-08-2023,12500000.0
Matt Turner,Arsenal / Nottingham,09-08-2023,8199999.999999999
Sander Berge,Sheff Utd / Burnley,09-08-2023,13900000.0
Joel Ideho,Arsenal / ADO Den Haag,01-07-2023,0.0
Michal Karbownik,Brighton / Hertha BSC,08-08-2023,2500000.0
Nikola Vlašić,West Ham United / Torino,08-08-2023,10600000.0
Micky van de Ven,VfL Wolfsburg / Tottenham,08-08-2023,40000000.0
Alejo Veliz,Rosario / Tottenham,08-08-2023,15000000.0
Tino Livramento,Southampton / Newcastle Utd.,08-08-2023,37200000.0
Zach Awe,Arsenal / Southampton,01-07-2023,0.0
Luka Milivojevic,C. Palace / Shabab Al Ahli,01-07-2023,0.0
Brooklyn Genesini,B'mouth / Swindon Town,07-08-2023,0.0
Joe Lumley,Middlesbrough / Southampton,07-08-2023,0.0
Ainsley Maitland-Niles,Arsenal / Lyon,07-08-2023,0.0
Gianluca Scamacca,West Ham United / Atalanta,07-08-2023,25600000.0
Henry Lawrence,Chelsea / Standard,07-08-2023,0.0
Robert Sánchez,Brighton / Chelsea,05-08-2023,23000000.0
Yerry Mina,Everton / Fiorentina,05-08-2023,0.0
Ashley Phillips,Blackburn / Tottenham,05-08-2023,2300000.0
Matheus França,Flamengo / C. Palace,05-08-2023,20000000.0
Rasmus Højlund,Atalanta / Man Utd,05-08-2023,73900000.0
Josko Gvardiol,RB Leipzig / Man City,05-08-2023,90000000.0
Harvey Woods,Southampton / FC Melksham Town,01-07-2023,0.0
Casey Pettit,Luton / Maidenhead United,04-08-2023,0.0
Axel Disasi,Monaco / Chelsea,04-08-2023,45000000.0
Brooklyn Kabongolo,Ipswich Town / Billericay Town,01-07-2023,0.0
Oludare Olufunwa,Liverpool / St. Johnstone,01-07-2023,0.0
Jack Hodnett,Wolverhampton / Shifnal Town,01-07-2023,0.0
Sam Bentley,Luton / St. Albans City,03-08-2023,0.0
Carlos Forbs,Man City / Ajax,03-08-2023,14000000.0
Matija Sarkic,Wolverhampton / Millwall,03-08-2023,1400000.0
Auston Trusty,Arsenal / Sheff Utd,03-08-2023,5800000.0
Thomas Kaminski,Blackburn / Luton,03-08-2023,2900000.0
Sam McClelland,Chelsea / St. Johnstone,01-07-2023,0.0
Lee Harkin,Wolverhampton / Coleraine,01-07-2023,0.0
Aaron Connolly,Brighton / Hull City,02-08-2023,1400000.0
Aaron Pressley,Brentford / Stevenage,02-08-2023,0.0
Manuel Lanzini,West Ham United / River Plate,02-08-2023,0.0
Lucas Moura,Tottenham / Sao Paulo,02-08-2023,0.0
Billy Fewster,Nottingham / Alfreton Town,01-07-2023,0.0
Lewis Ridd,Ipswich Town / Derby,01-08-2023,0.0
Freddie Bell,C. Palace / Penn State Nittany Lions,01-08-2023,0.0
Harrison Parker,Man Utd / Man City,01-08-2023,800000.0
Marqes Muir,Tottenham / Kentucky Wildcats (University of Kentucky),01-08-2023,0.0
Braian Ojeda,Nottingham / Salt Lake,01-08-2023,3600000.0
Chris Francis,B'mouth / C. Palace,01-08-2023,0.0
Iliman Ndiaye,Sheff Utd / Marseille,01-08-2023,17000000.0
Luke Matheson,Wolverhampton / Bolton Wanderers,01-08-2023,0.0
Mohammed Salisu,Southampton / Monaco,01-08-2023,15000000.0
Lesley Ugochukwu,Stade Rennais / Chelsea,01-08-2023,27000000.0
Jack Colback,Nottingham / QPR,01-07-2023,0.0
Callum Nicolson,Luton / AFC Dunstable,31-07-2023,0.0
Tom Smith,Arsenal / Colchester,31-07-2023,0.0
Ackeme Francis-Burrell,Wolverhampton / Stockport,31-07-2023,0.0
Di'Shon Bernard,Man Utd / Sheff Wed,31-07-2023,0.0
Fabinho,Liverpool / Al-Ittihad,31-07-2023,46700000.0
Stephy Mavididi,Montpellier / Leicester,31-07-2023,7500000.0
Conor Lawless,Luton / Dagenham,01-07-2023,0.0
Allan Saint-Maximin,Newcastle Utd. / Al Ahli,30-07-2023,27200000.0
Matthew Vigor,C. Palace / Cray Valley Paper Mills,01-07-2023,0.0
Karl Darlow,Newcastle Utd. / Leeds United,29-07-2023,400000.0
Ryan Giles,Wolverhampton / Luton,28-07-2023,5900000.0
Wesley Moraes,Aston Villa / Stoke City,28-07-2023,0.0
Calvin Bassey,Ajax / Fulham,28-07-2023,22500000.0
Riyad Mahrez,Man City / Al Ahli,28-07-2023,35000000.0
Fynn Talley,Brighton / Peterborough,27-07-2023,0.0
Christos Kalogerakis,Chelsea / Anderlecht,27-07-2023,0.0
Sami Tlemcani,Chelsea / AEK,01-07-2023,0.0
Jordan Henderson,Liverpool / Al-Ettifaq,27-07-2023,14000000.0
Mohamed Elyounoussi,Southampton / Kobenhavn,01-07-2023,0.0
Igor,Fiorentina / Brighton,26-07-2023,16200000.0
Adedire Mebude,Man City / Westerlo,26-07-2023,1800000.0
Matt Hall,Southampton / Bristol Rovers,01-07-2023,0.0
Sam Surridge,Nottingham / Nashville SC,25-07-2023,5800000.0
Raúl Jiménez,Wolverhampton / Fulham,25-07-2023,6400000.0
Luca Koleosho,Espanyol / Burnley,25-07-2023,3000000.0
Anthony Elanga,Man Utd / Nottingham,25-07-2023,17500000.0
Taylor Perry,Wolverhampton / Shrewsbury Town,24-07-2023,0.0
Carlos Mendes,Luton / Bolton Wanderers,24-07-2023,300000.0
Wilfried Zaha,C. Palace / Galatasaray,01-07-2023,0.0
Harvey Barnes,Leicester / Newcastle Utd.,23-07-2023,44000000.0
Alex Telles,Man Utd / Al-Nassr,23-07-2023,4600000.0
Bobby Thomas,Burnley / Coventry,22-07-2023,2300000.0
Moussa Diaby,Bayer 04 / Aston Villa,22-07-2023,55000000.0
Ola Aina,Torino / Nottingham,22-07-2023,0.0
Reda Khadra,Brighton / Reims,21-07-2023,1900000.0
Joe Pigott,Ipswich Town / Leyton Orient,21-07-2023,0.0
Laurence Shala,C. Palace / Wycombe,21-07-2023,0.0
Nathan Redmond,Besiktas / Burnley,21-07-2023,0.0
Pierre-Emerick Aubameyang,Chelsea / Marseille,21-07-2023,0.0
Daniel Amartey,Leicester / Besiktas,01-07-2023,0.0
Harley Curtis,Ipswich Town / Chesterfield,20-07-2023,0.0
Björn Hardley,Man Utd / Utrecht,20-07-2023,0.0
Matt Doherty,Atlético / Wolverhampton,20-07-2023,0.0
James Trafford,Man City / Burnley,20-07-2023,17300000.0
André Onana,Inter / Man Utd,20-07-2023,50200000.0
Marvelous Nakamba,Aston Villa / Luton,20-07-2023,2900000.0
Milos Kerkez,AZ / B'mouth,19-07-2023,17900000.0
Zeki Amdouni,Basel / Burnley,19-07-2023,18600000.0
Ethan Ampadu,Chelsea / Leeds United,19-07-2023,8100000.0
Benjamin Mendy,Man City / Lorient,19-07-2023,0.0
Bénie Traoré,Hacken / Sheff Utd,18-07-2023,4600000.0
Jonny Evans,Leicester / Man Utd,18-07-2023,0.0
Mads Hermansen,Brondby / Leicester,18-07-2023,7700000.0
Asmir Begovic,Everton / QPR,17-07-2023,0.0
Mads Bidstrup,Brentford / RB Salzburg,17-07-2023,6000000.0
Thanawat Suengchitthawon,Leicester / Muangthong (SCG) United,01-07-2023,0.0
Mipo Odubeko,West Ham United / Maritimo,01-07-2023,0.0
Matthew Healy,Ipswich Town / Boussu,01-07-2023,0.0
Iwan Roberts,Liverpool / Bala,15-07-2023,0.0
Dion Sanderson,Wolverhampton / Birmingham City,15-07-2023,2300000.0
Halil Dervisoglu,Brentford / Galatasaray,15-07-2023,500000.0
Declan Rice,West Ham United / Arsenal,15-07-2023,116600000.0
Jack Bearne,Liverpool / Greenock,01-07-2023,0.0
Deji Sotona,Burnley / Doncaster Rovers,14-07-2023,0.0
Yangel Herrera,Man City / Girona,14-07-2023,5000000.0
Jurrien Timber,Ajax / Arsenal,14-07-2023,40000000.0
Tahith Chong,Birmingham City / Luton,14-07-2023,4700000.0
Nathan James,Burnley / Barnsley,01-07-2023,0.0
Joel Valencia,Brentford / Zaglebie,01-07-2023,0.0
Ben Wilson,Brighton / Cliftonville,13-07-2023,0.0
Kane Vincent-Young,Ipswich Town / Wycombe,13-07-2023,0.0
Anis Slimane,Brondby / Sheff Utd,13-07-2023,2700000.0
George Hirst,Leicester / Ipswich Town,13-07-2023,1800000.0
Romain Faivre,Lyon / B'mouth,13-07-2023,15000000.0
Christian Pulisic,Chelsea / Milan,13-07-2023,20000000.0
Ashley Young,Aston Villa / Everton,13-07-2023,0.0
Jordan Smith,Nottingham / Stockport,01-07-2023,0.0
Josh Swan,Luton / Newport Pagnell Town FC,12-07-2023,0.0
Pau Torres,Villarreal / Aston Villa,12-07-2023,33000000.0
Shea Charles,Man City / Southampton,12-07-2023,12300000.0
Junior Dixon,C. Palace / Birmingham City,01-07-2023,0.0
Ryan Manning,Swansea / Southampton,11-07-2023,0.0
Manor Solomon,Shakhtar D. / Tottenham,11-07-2023,0.0
Abdul Rahman Baba,Chelsea / PAOK,10-07-2023,0.0
Ishé Samuels-Smith,Everton / Chelsea,08-07-2023,4700000.0
Ben Pearson,B'mouth / Stoke City,08-07-2023,1500000.0
Neeskens Kebano,Fulham / Al-Jazira,08-07-2023,0.0
