Player,Nation,Pos,Squad,Player Defensive Actions.Tackles.Def 3rd,Type
João Palhinha,pt POR,MF,Fulham,80,highest
Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,75,highest
João Gomes,br BRA,MF,Wolves,67,highest
Aaron Ramsdale,eng ENG,GK,Arsenal,0,lowest
Alisson,br BRA,GK,Liverpool,0,lowest
Armando Broja,al ALB,FW,Chelsea,0,lowest
