Player,Nation,Pos,Squad,Player Passing.Total.TotDist,Type
Rodri,es ESP,MF,Manchester City,57256,highest
Lewis Dunk,eng ENG,DF,Brighton,50791,highest
Virgil van Dijk,nl NED,DF,Liverpool,49290,highest
Leon Chiwome,eng ENG,FW,Wolves,244,lowest
Kieffer Moore,wls WAL,"FW,MF",Bournemouth,272,lowest
Neal Maupay,fr FRA,FW,Everton,353,lowest
