Player,Nation,Pos,Squad,Player Possession.Take-Ons.Succ%,Type
Alfie Gilchrist,eng ENG,DF,Chelsea,100.0,highest
Alphonse Areola,fr FRA,GK,West Ham,100.0,highest
André Onana,cm CMR,GK,Manchester Utd,100.0,highest
Aaron Cresswell,eng ENG,"DF,FW",West Ham,0.0,lowest
Adam Webster,eng ENG,DF,Brighton,0.0,lowest
Benoît Badiashile,fr FRA,DF,Chelsea,0.0,lowest
