Player,Nation,Pos,Squad,Player Possession.Carries.TotDist,Type
Rodri,es ESP,MF,Manchester City,11575,highest
Rúben Dias,pt POR,DF,Manchester City,10862,highest
Lewis Dunk,eng ENG,DF,Brighton,10752,highest
Leon Chiwome,eng ENG,FW,Wolves,86,lowest
Nathan Fraser,ie IRL,FW,Wolves,88,lowest
Neal Maupay,fr FRA,FW,Everton,89,lowest
