Player,Nation,Pos,Squad,Player Miscellaneous Stats.Aerial Duels.Won%,Type
Arijanet Muric,xk KVX,GK,Burnley,100.0,highest
Bart Verbruggen,nl NED,GK,Brighton,100.0,highest
Caoimhín Kelleher,ie IRL,GK,Liverpool,100.0,highest
Anass Zaroury,ma MAR,"FW,MF",Burnley,0.0,lowest
Andros Townsend,eng ENG,"MF,FW",Luton Town,0.0,lowest
Benson Manuel,ao ANG,"MF,FW",Burnley,0.0,lowest
