Player,Nation,Pos,Squad,Player Goalkeeping.Performance.W,Type
Ederson,br BRA,GK,Manchester City,24.0,highest
David Raya,es ESP,GK,Arsenal,23.0,highest
Guglielmo Vicario,it ITA,GK,Tottenham,20.0,highest
Ivo Grbić,hr CRO,GK,Sheffield Utd,0.0,lowest
Thomas Strakosha,al ALB,GK,Brentford,0.0,lowest
Daniel Bentley,eng ENG,GK,Wolves,1.0,lowest
