Player,Nation,Pos,Squad,Player Defensive Actions.Blocks.Sh,Type
James Tarkowski,eng ENG,DF,Everton,56,highest
Craig Dawson,eng ENG,DF,Wolves,39,highest
Fabian Schär,ch SUI,DF,Newcastle Utd,38,highest
Aaron Ramsdale,eng ENG,GK,Arsenal,0,lowest
Adama Traoré,es ESP,"FW,MF",Fulham,0,lowest
Alex Iwobi,ng NGA,MF,Everton,0,lowest
