Player,Nation,Pos,Squad,Player Passing.Total.Att,Type
Rodri,es ESP,MF,Manchester City,3656,highest
Lewis Dunk,eng ENG,DF,Brighton,3233,highest
Pascal Groß,de GER,"MF,DF",Brighton,3223,highest
Leon Chiwome,eng ENG,FW,Wolves,22,lowest
Neal Maupay,fr FRA,FW,Everton,26,lowest
Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,38,lowest
