Player,Nation,Pos,Squad,Player Miscellaneous Stats.Performance.Recov,Type
Bruno Guimarães,br BRA,MF,Newcastle Utd,237,highest
Rodri,es ESP,MF,Manchester City,235,highest
Ryan Christie,sct SCO,MF,Bournemouth,231,highest
Ionuț Radu,ro ROU,GK,Bournemouth,0,lowest
Mark Travers,ie IRL,GK,Bournemouth,1,lowest
Thomas Strakosha,al ALB,GK,Brentford,1,lowest
