Player,Nation,Pos,Squad,Player Passing.Total.Cmp%,Type
Thiago Silva,br BRA,DF,Chelsea,94.7,highest
David Ozoh,eng ENG,"MF,DF",Crystal Palace,94.1,highest
Mateo Kovačić,hr CRO,MF,Manchester City,94.0,highest
Ivo Grbić,hr CRO,GK,Sheffield Utd,49.7,lowest
William Osula,dk DEN,FW,Sheffield Utd,52.7,lowest
Ivan Toney,eng ENG,FW,Brentford,53.5,lowest
