Player,Nation,Pos,Squad,Player Passing.Expected.A-xAG,Type
Ollie Watkins,eng ENG,FW,Aston Villa,5.7,highest
Rodri,es ESP,MF,Manchester City,5.1,highest
Pedro Neto,pt POR,"FW,MF",Wolves,4.6,highest
Dejan Kulusevski,se SWE,"FW,MF",Tottenham,-4.7,lowest
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,-3.8,lowest
Dominik Szoboszlai,hu HUN,MF,Liverpool,-3.8,lowest
