Player,Nation,Pos,Squad,Player Pass Types.Pass Types.Dead,Type
Jordan Pickford,eng ENG,GK,Everton,496,highest
Thomas Kaminski,be BEL,GK,Luton Town,493,highest
Alfie Doughty,eng ENG,DF,Luton Town,489,highest
Calum Chambers,eng ENG,"MF,DF",Aston Villa,0,lowest
Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,0,lowest
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,0,lowest
