Player,Nation,Pos,Squad,Player Possession.Touches.Def 3rd,Type
Lewis Dunk,eng ENG,DF,Brighton,1811,highest
Guglielmo Vicario,it ITA,GK,Tottenham,1664,highest
Bernd Leno,de GER,GK,Fulham,1645,highest
Neal Maupay,fr FRA,FW,Everton,1,lowest
Kieffer Moore,wls WAL,"FW,MF",Bournemouth,2,lowest
Alex Iwobi,ng NGA,MF,Everton,5,lowest
