Player,Nation,Pos,Squad,Player Passing.Total.PrgDist,Type
Jordan Pickford,eng ENG,GK,Everton,26388,highest
Mark Flekken,nl NED,GK,Brentford,22385,highest
Thomas Kaminski,be BEL,GK,Luton Town,22188,highest
Neal Maupay,fr FRA,FW,Everton,14,lowest
Nathan Fraser,ie IRL,FW,Wolves,45,lowest
Leon Chiwome,eng ENG,FW,Wolves,59,lowest
