Player,Nation,Pos,Squad,Player Goalkeeping.Penalty Kicks.Save%,Type
Robin Olsen,se SWE,GK,Aston Villa,100.0,highest
Arijanet Muric,xk KVX,GK,Burnley,50.0,highest
David Raya,es ESP,GK,Arsenal,33.3,highest
Alisson,br BRA,GK,Liverpool,0.0,lowest
André Onana,cm CMR,GK,Manchester Utd,0.0,lowest
Bart Verbruggen,nl NED,GK,Brighton,0.0,lowest
