Player,Nation,Pos,Squad,Player Playing Time.Team Success.onG,Type
William Saliba,fr FRA,DF,Arsenal,91,highest
Rodri,es ESP,MF,Manchester City,87,highest
Declan Rice,eng ENG,MF,Arsenal,84,highest
Alex Iwobi,ng NGA,MF,Everton,0,lowest
Benson Manuel,ao ANG,"MF,FW",Burnley,0,lowest
Neal Maupay,fr FRA,FW,Everton,0,lowest
