Player,Nation,Pos,Squad,Player Goal and Shot Creation.SCA.SCA90,Type
Manor Solomon,il ISR,FW,Tottenham,8.59,highest
Alex Iwobi,ng NGA,MF,Everton,7.77,highest
Kevin De Bruyne,be BEL,MF,Manchester City,7.36,highest
Aaron Ramsdale,eng ENG,GK,Arsenal,0.0,lowest
Angelo Ogbonna,it ITA,DF,West Ham,0.0,lowest
David Ozoh,eng ENG,"MF,DF",Crystal Palace,0.0,lowest
