Player,Nation,Pos,Squad,Player Playing Time.Team Success (xG).onxG,Type
Virgil van Dijk,nl NED,DF,Liverpool,82.1,highest
William Saliba,fr FRA,DF,Arsenal,76.1,highest
Bruno Guimarães,br BRA,MF,Newcastle Utd,74.0,highest
Benson Manuel,ao ANG,"MF,FW",Burnley,0.5,lowest
Jaidon Anthony,eng ENG,FW,Bournemouth,0.6,lowest
Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,0.8,lowest
