Player,Nation,Pos,Squad,Player Passing.Medium.Cmp,Type
Virgil van Dijk,nl NED,DF,Liverpool,1343,highest
Lewis Dunk,eng ENG,DF,Brighton,1340,highest
William Saliba,fr FRA,DF,Arsenal,1298,highest
Kieffer Moore,wls WAL,"FW,MF",Bournemouth,4,lowest
Leon Chiwome,eng ENG,FW,Wolves,6,lowest
Maxwel Cornet,ci CIV,"MF,FW",West Ham,6,lowest
